 25W12-SB_1216WYHQ1400_cad        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     480/480  Selected Drills           16-December-2025 18:17
                        480 Nails,  1829 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$61       1.6530    2.2980   3  AA   (T)  #446  PU_AGPIO11       T PIN TB_TP254.1
$62       1.7020    2.2920   3  AA   (T)  #447  AGPIO130         T PIN TB_TP513.1
$63       1.7505    2.2795   3  AA   (T)  #384  KBRST_N          T PIN TB_TP259.1
$64       1.7080    2.2290   2  AA   (T)  #405  RSVD1_LVC18_CPU_R_N T PIN TB_TP53.1
$65       1.7280    2.0460   1  AA   (T)  #865  RSVD1_LVC18_CPU_N T PIN TB_TP54.1
$66       1.8200    2.0400   1  AA   (T)  #870  KBRST_R_N        T PIN TB_TP258.1
$67       1.9400    1.9700   1  AA   (T)  #879  RSMRST_N_R       T PIN TB_TP73.1
$68       1.9915    2.0430   1  AA   (T)  #292  RSMRST_N         T PIN TB_TP246.1
$69       2.1160    2.3341   3  AA   (T)  #430  PU_SPI_CS2_N     T PIN TB_TP250.1
$70       2.1624    2.3476   3  AA   (T)  #388  CPU_I2C1_P1V8_R_SCL T PIN TB_TP227.1
$71       2.2100    2.3550   3  AA   (T)  #411  CPU_I2C1_P1V8_R_SDA T PIN TB_TP226.1
$72       2.2567    2.3665   3  AA   (T)  #450  CPU_I2C0_P1V8_R_SCL T PIN TB_TP46.1
$73       2.3003    2.3465   3  AA   (T)  #433  CPU_I2C0_P1V8_R_SDA T PIN TB_TP45.1
$74       2.3700    2.3000   1  AA   (T)  #412  CPU_PWROK_R      T PIN TB_TP131.1
$75       2.4000    2.3540   3  AA   (T)  #451  SMB_CPU_MUX_P1V8_R_SDA T PIN TB_TP139.1
$76       2.4480    2.3550   3  AA   (T)  #434  SMB_CPU_MUX_P1V8_R_SCL T PIN TB_TP140.1
$77       2.6250    2.2763   1  AA   (T)  #389  JTAG_HDT_DBREQ_N T PIN TB_TP411.1
$78       2.7801    2.0450   3  AA   (T)  #27   CPU_I2C1_P1V8_SDA T PIN TB_TP224.1
$79       2.8100    1.9999   3  AA   (T)  #26   CPU_I2C1_P1V8_SCL T PIN TB_TP225.1
