 25W12-SB_1212YHQ1340_CAD        Tebo-ICT,  license #WIWYNN

 Test Fixture Nails     465/465  Selected Drills           16-December-2025 18:20
                        465 Nails,  1819 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$61       1.6530    2.2980   5  AA   (T)  #440  PU_AGPIO11       T PIN TB_TP243.1
$62       1.7020    2.2920   5  AA   (T)  #441  AGPIO130         T PIN TB_TP497.1
$63       1.7505    2.2795   5  AA   (T)  #378  KBRST_N          T PIN TB_TP248.1
$64       1.7080    2.2290   5  AA   (T)  #399  RSVD1_LVC18_CPU_R_N T PIN TB_TP48.1
$65       1.7280    2.0460   5  AA   (T)  #860  RSVD1_LVC18_CPU_N T PIN TB_TP49.1
$66       1.8200    2.0400   5  AA   (T)  #865  KBRST_R_N        T PIN TB_TP247.1
$67       1.9400    1.9700   5  AA   (T)  #874  RSMRST_N_R       T PIN TB_TP68.1
$68       1.9915    2.0430   5  AA   (T)  #286  RSMRST_N         T PIN TB_TP235.1
$69       2.1160    2.3341   5  AA   (T)  #424  PU_SPI_CS2_N     T PIN TB_TP239.1
$70       2.1624    2.3476   5  AA   (T)  #382  CPU_I2C1_P1V8_R_SCL T PIN TB_TP217.1
$71       2.2100    2.3550   5  AA   (T)  #405  CPU_I2C1_P1V8_R_SDA T PIN TB_TP216.1
$72       2.2567    2.3665   5  AA   (T)  #444  CPU_I2C0_P1V8_R_SCL T PIN TB_TP42.1
$73       2.3003    2.3465   5  AA   (T)  #427  CPU_I2C0_P1V8_R_SDA T PIN TB_TP41.1
$74       2.3700    2.3000   5  AA   (T)  #406  CPU_PWROK_R      T PIN TB_TP125.1
$75       2.4000    2.3540   5  AA   (T)  #445  SMB_CPU_MUX_P1V8_R_SDA T PIN TB_TP131.1
$76       2.4480    2.3550   5  AA   (T)  #428  SMB_CPU_MUX_P1V8_R_SCL T PIN TB_TP132.1
$77       2.6250    2.2763   5  AA   (T)  #383  JTAG_HDT_DBREQ_N T PIN TB_TP395.1
$78       2.5970    1.8794   5  AA   (T)  #1186 CPU_SVTI         T PIN TB_TP167.1
$79       2.7801    2.0450   5  AA   (T)  #21   CPU_I2C1_P1V8_SDA T PIN TB_TP214.1
$80       2.8100    1.9999   5  AA   (T)  #20   CPU_I2C1_P1V8_SCL T PIN TB_TP215.1
$81       2.9300    1.7935   5  AA   (T)  #1142 PVDDCR_SOC_SVTO_R T PIN TB_TP175.1
$82       2.9774    1.7859   5  AA   (T)  #1141 PVDDCR_SOC_SVC_R T PIN TB_TP177.1
$83       3.0174    1.7564   5  AA   (T)  #1140 PVDDCR_SOC_SVD_R T PIN TB_TP176.1
$84       3.0492    1.7925   5  AA   (T)  #1139 PVDDCR_PVDDCRSOC_PG2_R T PIN TB_TP143.1
$85       3.1110    1.8870   5  AA   (T)  #774  CPU_PWROK        T PIN TB_TP126.1
$86       3.1530    1.9990   5  AA   (T)  #1166 SMB_CPU_MUX_P1V8_SDA T PIN TB_TP129.1
$87       3.2590    2.0110   5  AA   (T)  #1167 SMB_CPU_MUX_P1V8_SCL T PIN TB_TP130.1
$88       3.2850    1.9550   5  AA   (T)  #850  PWRGD_PVDDCR_SOC T PIN TB_TP174.1
$89       3.2247    1.9096   5  AA   (T)  #846  FM_PVDDCR_EN     T PIN TB_TP155.1
$90       3.1790    1.8950   5  AA   (T)  #1138 PVDDCR_PVDDCRSOC_PWROK_R T PIN TB_TP142.1
$91       3.1905    1.7385   5  AA   (T)  #1136 PVDDCR_PVDDCRSOC_PG1_R T PIN TB_TP144.1
$92       3.2260    1.7028   5  AA   (T)  #1134 PVDDCR_PVDDCRSOC_SCL_R T PIN TB_TP141.1
$93       3.3034    1.6286   5  AA   (T)  #1168 SMB_PMBUS_STBY_LVC3_SDA T PIN TB_TP286.1
$94       3.3060    1.5792   5  AA   (T)  #1169 SMB_PMBUS_STBY_LVC3_SCL T PIN TB_TP288.1
$95       3.2574    1.4969   5  AA   (T)  #1160 PVDDCR_PVDDCRSOC_VD18 T PIN TB_TP59.1
$96       3.2208    1.4658   5  AA   (T)  #1159 PVDDCR_PVDDCRSOC_VDD33 T PIN TB_TP58.1
$97       3.1690    1.4610   5  AA   (T)  #1158 PVDDCR_PVDDCRSOC_VINSEN T PIN TB_TP140.1
$98       4.0040    1.1550   5  AA   (T)  #815  PWRGD_PCH_PWROK  T PIN TB_TP303.1
$99       4.0360    1.1050   5  AA   (T)  #799  IRQ_SML1_ALERT_PLD_N T PIN TB_TP403.1
$100      4.1080    1.1140   5  AA   (T)  #781  FM_CPU_PROCHOT_LATCH_LVT3_N T PIN TB_TP161.1
$101      4.2100    1.1035   5  AA   (T)  #823  P1V8_AUXA_CPLD   T PIN TB_TP171.1
$102      4.3245    1.1036   5  AA   (T)  #825  P1V8_AUX_CPLD    T PIN TB_TP172.1
$103      4.4105    1.1019   5  AA   (T)  #789  FM_NAC_EN        T PIN TB_TP157.1
$104      4.4685    1.1171   5  AA   (T)  #803  FM_BOARD_REV_ID4 T PIN TB_TP162.1
$105      4.6640    1.1691   5  AA   (T)  #1235 CLK_25M_CPLD_R   T PIN TB_TP484.1
$106      4.6700    1.1170   5  AA   (T)  #795  CLK_25M_CPLD     T PIN TB_TP485.1
$107      4.6780    1.0510   5  AA   (T)  #705  UART_NCT5214D_R_RX T PIN TB_TP76.1
$108      4.7450    0.9000   5  AA   (T)  #814  FM_CPU_PWRBTN_CPLD_N T PIN TB_TP12.1
$109      4.9070    0.9150   5  AA   (T)  #669  STRAP_2E_4E_SEL  T PIN TB_TP78.1
$110      5.0478    0.9150   5  AA   (T)  #672  PAD_CAP          T PIN TB_TP79.1
$111      5.1089    0.5289   5  AA   (T)  #745  OUTLET_TMP75_A2  T PIN TB_TP375.1
$112      5.0270    0.1040   5  AA   (T)  #782  IRQ_SML1_ALERT_N T PIN TB_TP404.1
$113      5.0050    0.2250   5  AA   (T)  #942  TP_JTAG_CONN_5   T PIN TP59.1
$114      4.9650    0.2550   5  AA   (T)  #943  TP_JTAG_TRST_N   T PIN TP58.1
$115      5.0287    0.4563   5  AA   (T)  #1389 P3V3_STBY_CPLD_JTAG T PIN TB_TP80.1
$116      5.0000    0.5290   5  AA   (T)  #746  OUTLET_TMP75_A1  T PIN TB_TP376.1
$117      4.9471    0.5201   5  AA   (T)  #747  OUTLET_TMP75_A0  T PIN TB_TP377.1
$118      4.9037    0.5435   5  AA   (T)  #950  LED_POSTCODE_4   T PIN TB_TP379.1
$119      4.8197    0.7202   5  AA   (T)  #952  LED_POSTCODE_6   T PIN TB_TP378.1
$120      4.6992    0.8056   5  AA   (T)  #828  JTAG_PLD_R_TDI   T PIN TB_TP386.1
$121      3.8990    0.5860   5  AA   (T)  #890  PWRGD_PVDD_MISC_S5_R T PIN TB_TP93.1
$122      3.8979    0.4966   5  AA   (T)  #900  PWRGD_CPU_LVC3_R1 T PIN TB_TP310.1
$123      3.8971    0.4421   5  AA   (T)  #901  FM_FORCE_PWR_ON_N T PIN TB_TP466.1
$124      3.3642    0.3290   5  AA   (T)  #882  EN_LVS_CPLD_U106 T PIN TB_TP2.1
$125      3.5721    0.4653   5  AA   (T)  #945  FP_PWR_LED       T PIN TB_TP86.1
$126      3.5853    0.5349   5  AA   (T)  #1131 PVDD_MISC_VDD33  T PIN TB_TP60.1
$127      3.6720    0.5630   5  AA   (T)  #707  UART_PLD_TX      T PIN TB_TP258.1
$128      3.7210    0.5585   5  AA   (T)  #816  UART_PLD_R_TX    T PIN TB_TP260.1
$129      3.7703    0.5547   5  AA   (T)  #704  UART_PLD_RX      T PIN TB_TP259.1
$130      3.7929    0.5970   5  AA   (T)  #1234 PWRGD_CPU_LVC3   T PIN TB_TP311.1
$131      3.9010    0.7559   5  AA   (T)  #848  STRAP_LPC_ESPI   T PIN TB_TP273.1
$132      3.7773    0.7128   5  AA   (T)  #79   PD_SW1_PIN2      T PIN TB_TP18.1
$133      3.6920    0.7340   5  AA   (T)  #78   PD_SW1_PIN1      T PIN TB_TP19.1
$134      3.5488    0.7338   5  AA   (T)  #1132 PVDD_MISC_VD18   T PIN TB_TP61.1
$135      3.4680    0.9200   5  AA   (T)  #1115 PVDD_MISC_EN_R   T PIN TB_TP149.1
$136      3.4180    0.9190   5  AA   (T)  #1116 PVDD_MISC_PWROK_R T PIN TB_TP148.1
$137      3.3426    0.9157   5  AA   (T)  #1118 PVDD_MISC_SVC_R  T PIN TB_TP147.1
$138      3.2941    0.9172   5  AA   (T)  #1119 PVDD_MISC_SVTO_R T PIN TB_TP146.1
$139      2.7390    0.9240   5  AA   (T)  #1021 P5V_STBY_COME_R_MISC T PIN TB_TP112.1
$140      2.6778    0.9460   5  AA   (T)  #1029 PVDD_MISC_VDD1   T PIN TB_TP145.1
$141      2.5865    1.0060   5  AA   (T)  #1026 PVDD_MISC_EN1    T PIN TB_TP192.1
$142      2.6296    0.0862   5  AA   (T)  #978  UART_ICX_COME_RX T PIN TB_TP262.1
$143      2.3597    0.1527   5  AA   (T)  #420  FM_BMC_READY_N   T PIN TB_TP470.1
$144      2.2900    0.3800   5  AA   (T)  #1207 FM_MEMTRIP_N     T PIN TB_TP465.1
$145      2.2450    0.6120   5  AA   (T)  #918  JTAG_BMC_TDO     T PIN TB_TP398.1
$146      2.3725    0.9387   5  AA   (T)  #1045 PVDDCR_VDD4      T PIN TB_TP136.1
$147      2.2865    1.0060   5  AA   (T)  #1042 PVDDCR_EN4       T PIN TB_TP188.1
$148      2.2570    0.9010   5  AA   (T)  #1208 FM_PCHHOT_N      T PIN TB_TP462.1
$149      2.0662    0.9387   5  AA   (T)  #1052 PVDDCR_VDD3      T PIN TB_TP137.1
$150      1.9865    1.0060   5  AA   (T)  #1049 PVDDCR_EN3       T PIN TB_TP189.1
$151      2.0450    0.8447   5  AA   (T)  #764  FM_CPU_ERR2_LVT3_BUF_N T PIN TB_TP122.1
$152      2.0203    0.8036   5  AA   (T)  #766  RSVD_FPGA_GPIO1  T PIN TB_TP108.1
$153      1.9463    0.7945   5  AA   (T)  #919  JTAG_BMC_TMS     T PIN TB_TP397.1
$154      1.9010    0.8333   5  AA   (T)  #916  JTAG_BMC_TCK     T PIN TB_TP400.1
$155      1.8535    0.8400   5  AA   (T)  #767  FM_CPU_ERR1_LVT3_BUF_N T PIN TB_TP123.1
$156      1.7662    0.9387   5  AA   (T)  #1059 PVDDCR_VDD2      T PIN TB_TP138.1
$157      1.6865    1.0060   5  AA   (T)  #1056 PVDDCR_EN2       T PIN TB_TP190.1
$158      1.3915    1.0060   5  AA   (T)  #1063 PVDDCR_EN1       T PIN TB_TP191.1
$159      1.4668    0.9337   5  AA   (T)  #1066 PVDDCR_VDD1      T PIN TB_TP139.1
$160      1.5441    0.7987   5  AA   (T)  #1183 COME_TYPE_0      T PIN TB_TP483.1
$161      1.6456    0.7204   5  AA   (T)  #1182 COME_TYPE_1      T PIN TB_TP482.1
$162      1.7400    0.7650   5  AA   (T)  #1181 COME_TYPE_2      T PIN TB_TP481.1
$163      1.6933    0.6038   5  AA   (T)  #761  RSVD_FPGA_GPIO2  T PIN TB_TP107.1
$164      1.8415    0.6364   5  AA   (T)  #768  FM_CPU_ERR0_LVT3_BUF_N T PIN TB_TP124.1
$165      1.9710    0.5840   5  AA   (T)  #765  RSVD_FPGA_GPIO0  T PIN TB_TP109.1
$166      1.9000    0.4196   5  AA   (T)  #763  FPGA_CRC_ERR_BUF T PIN TB_TP121.1
$167      1.8270    0.3635   5  AA   (T)  #762  RSVD_FPGA_GPIO3  T PIN TB_TP106.1
$168      1.6274    0.4234   5  AA   (T)  #1221 SMB_PMBUS_STBY_LVC3_SCL_CN T PIN TB_TP287.1
$169      1.5826    0.3030   5  AA   (T)  #867  BATLOW_N         T PIN TB_TP494.1
$170      1.6268    0.1511   5  AA   (T)  #998  IRQ_LPC_SERIRQ_ESPI_CS1_N T PIN TB_TP85.1
$171      1.5341    0.2401   5  AA   (T)  #995  BATLOW_N_R       T PIN TB_TP493.1
$172      1.5184    0.3268   5  AA   (T)  #1222 SMB_PMBUS_STBY_LVC3_SDA_CN T PIN TB_TP285.1
$173      1.4620    0.4290   5  AA   (T)  #790  FAST_THROTTLE_N  T PIN TB_TP476.1
$174      1.3737    0.3004   5  AA   (T)  #982  FAST_THROTTLE_N_R T PIN TB_TP475.1
$175      1.3382    0.2556   5  AA   (T)  #1205 MEMHOT_OUT_FET_N T PIN TB_TP153.1
$176      1.3279    0.2085   5  AA   (T)  #985  SMB_SENSOR_STBY_LVC3_SDA T PIN TB_TP282.1
$177      1.2574    0.1835   5  AA   (T)  #986  SMB_SENSOR_STBY_LVC3_SCL T PIN TB_TP283.1
$178      1.0000    0.1099   5  AA   (T)  #868  FM_SLP_S3_N      T PIN TB_TP251.1
$179      1.0040    0.1850   5  AA   (T)  #811  SMB_FPGA_VPP_STBY_LVC3_R_SCL T PIN TB_TP295.1
$180      1.0500    0.2210   5  AA   (T)  #835  SMB_FPGA_VPP_STBY_LVC3_R_SDA T PIN TB_TP294.1
$181      0.9419    0.3017   5  AA   (T)  #989  SMB_FPGA_VPP_STBY_LVC3_SCL T PIN TB_TP293.1
$182      0.9837    0.3253   5  AA   (T)  #988  SMB_FPGA_VPP_STBY_LVC3_SDA T PIN TB_TP292.1
